entity,label
http://www.wikidata.org/entity/Q104727220,Antoninien 2000.23.339
http://www.wikidata.org/entity/Q104727343,Antoninien 2000.23.626
http://www.wikidata.org/entity/Q104729016,Francis of Assisi
http://www.wikidata.org/entity/Q104729389,Allegory of Fortune
http://www.wikidata.org/entity/Q104729676,Portrait of a Man
http://www.wikidata.org/entity/Q104729753,Winter Landscape
http://www.wikidata.org/entity/Q104730209,Virgin on a Moon Crescent
http://www.wikidata.org/entity/Q104730359,Saint Anne carrying the Virgin and Child
http://www.wikidata.org/entity/Q104731663,Vanity
http://www.wikidata.org/entity/Q104731884,The Nightmare
http://www.wikidata.org/entity/Q104732123,The Raising of Lazarus
http://www.wikidata.org/entity/Q104733484,The Mocking of Christ
http://www.wikidata.org/entity/Q104733513,Allegory of Wise Counsel
http://www.wikidata.org/entity/Q104733553,Holy Family
http://www.wikidata.org/entity/Q1047337,genre art
http://www.wikidata.org/entity/Q104737513,Virgin and Child
http://www.wikidata.org/entity/Q104737663,Giovanni Antonio da Montonate
http://www.wikidata.org/entity/Q104737754,Holy Family
http://www.wikidata.org/entity/Q104740233,Tea time
http://www.wikidata.org/entity/Q104759172,Landscape
http://www.wikidata.org/entity/Q104759286,Landscape with Shepherds and Cattle
http://www.wikidata.org/entity/Q1047594,piazza del Plebiscito
http://www.wikidata.org/entity/Q104759431,Q104759431
http://www.wikidata.org/entity/Q104759446,Q104759446
http://www.wikidata.org/entity/Q104760026,Doubting Saint Thomas
http://www.wikidata.org/entity/Q104763213,Saint Peter visits Saint Agatha in her Prison
http://www.wikidata.org/entity/Q104763627,Holy Family with Saint John Baptist
http://www.wikidata.org/entity/Q104763832,Holy Family
http://www.wikidata.org/entity/Q104763985,Undergrowth with Mushrooms
http://www.wikidata.org/entity/Q104767252,Portrait of a Man in a silk Kimono
http://www.wikidata.org/entity/Q104767295,River Landscape
http://www.wikidata.org/entity/Q104771795,Martyrdom of Gerard of Csanád
http://www.wikidata.org/entity/Q104771863,Christ in the House of Simon the Pharisee
http://www.wikidata.org/entity/Q104785863,Penitent Saint Jerome
http://www.wikidata.org/entity/Q104785987,"Musée Saint-Raymond, Ra 369"
http://www.wikidata.org/entity/Q104786786,Nativity
http://www.wikidata.org/entity/Q104786812,Adoration of the Magi
http://www.wikidata.org/entity/Q104786840,Altar of the Life of the Virgin
http://www.wikidata.org/entity/Q104787855,Saint Jerome and the Lion
http://www.wikidata.org/entity/Q1047940,Caspar Isenmann
http://www.wikidata.org/entity/Q1048,Julius Caesar
http://www.wikidata.org/entity/Q104801632,David in prayer obtains the cessation of the plague
http://www.wikidata.org/entity/Q1048023,Mares of Diomedes
http://www.wikidata.org/entity/Q104804671,Christ on the Cross
http://www.wikidata.org/entity/Q104804711,The Crucifixion
