relation,index
http://www.wikidata.org/prop/direct/P1416,324
http://www.wikidata.org/prop/direct/P50,325
http://www.wikidata.org/prop/direct/P466,326
http://www.wikidata.org/prop/direct/P123,327
http://www.wikidata.org/prop/direct/P742,328
http://www.wikidata.org/prop/direct/P1988,329
http://www.wikidata.org/prop/direct/P11686,330
http://www.wikidata.org/prop/direct/P3965,331
http://www.wikidata.org/prop/direct/P509,332
http://www.wikidata.org/prop/direct/P4459,333
http://www.wikidata.org/prop/direct/P5597,334
http://www.wikidata.org/prop/direct/P7578,335
http://www.wikidata.org/prop/direct/P1580,336
http://www.wikidata.org/prop/direct/P6844,337
http://www.wikidata.org/prop/direct/P69,338
http://www.wikidata.org/prop/direct/P2031,339
http://www.wikidata.org/prop/direct/P2032,340
http://www.wikidata.org/prop/direct/P535,341
http://www.wikidata.org/prop/direct/P650,342
http://www.wikidata.org/prop/direct/P4927,343
http://www.wikidata.org/prop/direct/P1615,344
http://www.wikidata.org/prop/direct/P7305,345
http://www.wikidata.org/prop/direct/P5489,346
http://www.wikidata.org/prop/direct/P9251,347
http://www.wikidata.org/prop/direct/P9493,348
http://www.wikidata.org/prop/direct/P4439,349
http://www.wikidata.org/prop/direct/P3782,350
http://www.wikidata.org/prop/direct/P11239,351
http://www.wikidata.org/prop/direct/P10069,352
http://www.wikidata.org/prop/direct/P8572,353
http://www.wikidata.org/prop/direct/P6275,354
http://www.wikidata.org/prop/direct/P2843,355
http://www.wikidata.org/prop/direct/P7444,356
http://www.wikidata.org/prop/direct/P1477,357
http://www.wikidata.org/prop/direct/P1950,358
http://www.wikidata.org/prop/direct/P9984,359
http://www.wikidata.org/prop/direct/P1472,360
http://www.wikidata.org/prop/direct/P4663,361
http://www.wikidata.org/prop/direct/P4145,362
http://www.wikidata.org/prop/direct/P1273,363
http://www.wikidata.org/prop/direct/P1196,364
http://www.wikidata.org/prop/direct/P6637,365
http://www.wikidata.org/prop/direct/P7848,366
http://www.wikidata.org/prop/direct/P1441,367
http://www.wikidata.org/prop/direct/P4764,368
http://www.wikidata.org/prop/direct/P4948,369
http://www.wikidata.org/prop/direct/P6500,370
