Type URI,Type Label,Total Entities
http://www.wikidata.org/entity/Q721747,commemorative plaque,1
http://www.wikidata.org/entity/Q3399907,crock,2
http://www.wikidata.org/entity/Q4793450,armilla,1
http://www.wikidata.org/entity/Q1665351,intaglio,4
http://www.wikidata.org/entity/Q376895,as,2
http://www.wikidata.org/entity/Q17504947,tool handle,1
http://www.wikidata.org/entity/Q32489,knife,3
http://www.wikidata.org/entity/Q15020961,unguentarium,1
http://www.wikidata.org/entity/Q125191,photograph,1
http://www.wikidata.org/entity/Q131557,amulet,2
http://www.wikidata.org/entity/Q86683067,Q86683067,2
http://www.wikidata.org/entity/Q200266,handle,1
http://www.wikidata.org/entity/Q6851831,miliaresion,1
http://www.wikidata.org/entity/Q133067,mosaic,4
http://www.wikidata.org/entity/Q2294433,tholobate,2
http://www.wikidata.org/entity/Q28890616,group of casts,1
http://www.wikidata.org/entity/Q3918409,proposal,1
http://www.wikidata.org/entity/Q3093009,dais,1
http://www.wikidata.org/entity/Q28038924,Aureus RIC I Tiberius 29,1
http://www.wikidata.org/entity/Q15123870,lithograph,2
http://www.wikidata.org/entity/Q1320546,weight,4
http://www.wikidata.org/entity/Q55439,panel painting,1
http://www.wikidata.org/entity/Q1976598,pannel,2
http://www.wikidata.org/entity/Q3024324,desco da parto,1
http://www.wikidata.org/entity/Q12791,sword,1
http://www.wikidata.org/entity/Q4502142,visual artwork,1
http://www.wikidata.org/entity/Q80228,bottle,1
http://www.wikidata.org/entity/Q2517447,adze,1
http://www.wikidata.org/entity/Q61982673,left panel,1
http://www.wikidata.org/entity/Q321053,cenotaph,2
http://www.wikidata.org/entity/Q21550515,cross,1
http://www.wikidata.org/entity/Q244330,hinge,1
http://www.wikidata.org/entity/Q213096,seashell,1
http://www.wikidata.org/entity/Q1752223,cippus,1
http://www.wikidata.org/entity/Q1211272,signage,2
http://www.wikidata.org/entity/Q141830,pallet fork,2
http://www.wikidata.org/entity/Q107191336,Q107191336,1
http://www.wikidata.org/entity/Q631931,decorative art,1
http://www.wikidata.org/entity/Q2424752,product,1
http://www.wikidata.org/entity/Q483453,fountain,2
http://www.wikidata.org/entity/Q732286,askos,1
http://www.wikidata.org/entity/Q1468440,Gutti,1
http://www.wikidata.org/entity/Q217106,croquis,1
http://www.wikidata.org/entity/Q1473346,stained glass,2
http://www.wikidata.org/entity/Q1557709,guéridon,1
http://www.wikidata.org/entity/Q476968,krater,1
http://www.wikidata.org/entity/Q132137,icon,1
http://www.wikidata.org/entity/Q17489659,group of works,1
http://www.wikidata.org/entity/Q45926,annulus,1
http://www.wikidata.org/entity/Q838312,pin,2
http://www.wikidata.org/entity/Q2647209,stylus,2
http://www.wikidata.org/entity/Q131647,medallion,2
http://www.wikidata.org/entity/Q721086,shield boss,1
http://www.wikidata.org/entity/Q29527347,figure,2
http://www.wikidata.org/entity/Q61982747,right panel,1
http://www.wikidata.org/entity/Q127441,hyperpyron,1
http://www.wikidata.org/entity/Q1650313,situla,1
http://www.wikidata.org/entity/Q718,chess,1
http://www.wikidata.org/entity/Q1617884,olpe,2
http://www.wikidata.org/entity/Q79497835,funerary object,1
http://www.wikidata.org/entity/Q22669857,collage,1
http://www.wikidata.org/entity/Q351853,ivory carving,1
http://www.wikidata.org/entity/Q737406,golden hat,1
http://www.wikidata.org/entity/Q18887969,copper engraving print,2
http://www.wikidata.org/entity/Q19479037,sculpture series,1
http://www.wikidata.org/entity/Q57444907,Fugitive Love motive,1
http://www.wikidata.org/entity/Q3775122,washstand,1
http://www.wikidata.org/entity/Q208454,abacus,1
http://www.wikidata.org/entity/Q942612,nestorides,1
http://www.wikidata.org/entity/Q477146,amphoriskos,1
http://www.wikidata.org/entity/Q101401,bell,2
http://www.wikidata.org/entity/Q1352349,architectural model,1
http://www.wikidata.org/entity/Q180987,stupa,1
http://www.wikidata.org/entity/Q745783,hydria,1
http://www.wikidata.org/entity/Q142690,sewing needle,1
http://www.wikidata.org/entity/Q1109404,patera,1
http://www.wikidata.org/entity/Q2943859,military belt,1
http://www.wikidata.org/entity/Q134566,weighing scale,1
http://www.wikidata.org/entity/Q57216,plate,1
http://www.wikidata.org/entity/Q6498959,scale model,2
http://www.wikidata.org/entity/Q3449901,game piece,1
http://www.wikidata.org/entity/Q89898105,Glass bottle,1
http://www.wikidata.org/entity/Q88064643,bowl,1
http://www.wikidata.org/entity/Q29477178,spearhead,1
http://www.wikidata.org/entity/Q1350279,pyxis,3
http://www.wikidata.org/entity/Q23657281,drypoint print,1
http://www.wikidata.org/entity/Q683010,ex-voto,1
http://www.wikidata.org/entity/Q220919,keystone,1
http://www.wikidata.org/entity/Q29014664,foundation stone,2
http://www.wikidata.org/entity/Q190996,pediment,1
http://www.wikidata.org/entity/Q4259259,canvas,1
http://www.wikidata.org/entity/Q2230201,shaft,1
http://www.wikidata.org/entity/Q2132068,shaken idiophone,1
http://www.wikidata.org/entity/Q11422,toy,1
http://www.wikidata.org/entity/Q656656,tap,1
http://www.wikidata.org/entity/Q1127799,dupondius,1
http://www.wikidata.org/entity/Q381885,tomb,1
http://www.wikidata.org/entity/Q56055312,sepulchral monument,1
http://www.wikidata.org/entity/Q134560,belt,1
http://www.wikidata.org/entity/Q722604,reliquary,1
http://www.wikidata.org/entity/Q20437094,installation artwork,1
http://www.wikidata.org/entity/Q751944,token coin,1
